Price	Close	High	Low	Open	Volume
Ticker	AAPL	AAPL	AAPL	AAPL	AAPL
Date					
1998-07-13	0.2762214243	0.2855851036	0.2387675325	0.2392356902	5049788800
1998-07-20	0.2598356009	0.2771576859	0.2532807679	0.273880707	1518540800
1998-07-27	0.2593674958	0.2752851594	0.2471949692	0.2565586493	1432737600
1998-08-03	0.2734125853	0.2799665683	0.2490675086	0.2565586323	1786400000
1998-08-10	0.3033752739	0.30712041	0.2715399547	0.2720080873	3779406400
1998-08-17	0.3221026361	0.3277203274	0.2921390239	0.3071203925	3228120000
1998-08-24	0.256090492	0.3258478725	0.2556223593	0.3253797147	3558721600
1998-08-31	0.263112545	0.2799664935	0.229404648	0.2603036994	3367324800
1998-09-07	0.2818399668	0.2968213385	0.2677940104	0.284648813	1636656000
1998-09-14	0.2752851546	0.2907346852	0.2663896074	0.2865214155	1513971200
1998-09-21	0.290266484	0.2963531839	0.2645170118	0.2673258579	1552857600
1998-09-28	0.2626444101	0.3010345865	0.2556222956	0.297757583	1723523200
1998-10-05	0.263112545	0.2640488102	0.2134861396	0.2546851332	2782550400
1998-10-12	0.2748169303	0.309461942	0.2659213861	0.2809027539	5300780800
1998-10-19	0.2659214735	0.2860532565	0.2631126271	0.2748170207	1961836800
1998-10-26	0.2780939341	0.2916709054	0.2626444072	0.2701355294	2039968000
1998-11-02	0.2851168811	0.2949487159	0.2790302072	0.2809027626	2656561600
1998-11-09	0.2673259377	0.2855851676	0.2453224205	0.2823081629	3880195200
1998-11-16	0.2645169497	0.2785620516	0.2603036816	0.2691992004	1670670400
1998-11-23	0.2626444101	0.275753224	0.260303722	0.2663895462	1354606400
1998-11-30	0.2453223616	0.27622142	0.2368949729	0.25889931	3737126400
1998-12-07	0.2528126836	0.2546852397	0.2368950186	0.2500038368	2920870400
1998-12-14	0.2635807991	0.2649852225	0.2415764318	0.24625871	2262612800
1998-12-21	0.2940116227	0.3033753013	0.2565586084	0.2649851466	2943270400
1998-12-28	0.3066523969	0.3108665174	0.2921391545	0.2921391545	1621715200
1999-01-04	0.3370839953	0.3511290983	0.2996301375	0.3155477958	5819419200
1999-01-11	0.3094619811	0.3544061153	0.2996301704	0.3427017241	5159392000
1999-01-18	0.290266484	0.3169522715	0.2776258268	0.3141434255	2259264000
