Date,Avg_Price,Revenue_B,Shares_Outstanding_B,Market_Cap_B,P_S_Ratio
1996-03-31,0.18929772576666667,9.83,13.89,2.6293454108990004,0.2674817305085453
1996-04-30,0.18474077281999998,9.83,13.89,2.5660493344698,0.26104265864392673
1996-05-31,0.201782211675,9.83,13.89,2.80275492016575,0.2851225758052645
1996-06-30,0.172170341025,9.83,13.89,2.3914460368372503,0.24328036997327063
1996-07-31,0.15271763206,9.83,13.89,2.1212479093134,0.21579327663412004
1996-08-31,0.1755645685,9.83,13.89,2.438591856465,0.24807648590691758
1996-09-30,0.16779283882,9.83,13.89,2.3306425312098003,0.2370948658402645
1996-10-31,0.186449490475,9.83,13.89,2.5897834226977503,0.2634571131940743
1996-11-30,0.188439100975,9.83,13.89,2.61741911254275,0.2662684753349695
1996-12-31,0.17490878104000002,9.83,13.89,2.4294829686456003,0.24714984421623604
1997-01-31,0.12827929855,9.600833333333334,13.9175,1.7853271375696251,0.18595543486533722
1997-02-28,0.121256304925,9.371666666666666,13.945,1.690919172179125,0.18042886418414994
1997-03-31,0.13118178846,9.1425,13.9725,1.8329375392573501,0.20048537481622644
1997-04-30,0.133195031425,8.913333333333334,14.0,1.86473043995,0.20920685564136124
1997-05-31,0.1269918941,8.684166666666666,14.0275,1.78137879448775,0.20512950325163612
1997-06-30,0.1146085486,8.455,14.055,1.610823150573,0.19051722656096984
1997-07-31,0.127284292125,8.225833333333334,14.082500000000001,1.7924810438503127,0.21790874811269123
1997-08-31,0.178724560875,7.996666666666667,14.110000000000001,2.52180355394625,0.3153568429278345
1997-09-30,0.16423494816,7.7675,14.137500000000001,2.3218715796120004,0.2989213491615063
1997-10-31,0.143085137,7.538333333333334,14.165000000000001,2.026800965605,0.2688659251300022
1997-11-30,0.138812925675,7.309166666666667,14.1925,1.9701024476424376,0.2695385859275938
1997-12-31,0.10964590162000001,7.08,14.22,1.5591647210364004,0.22022100579610174
1998-01-31,0.14010030405,6.985,14.379166666666666,2.014525621985625,0.2884073904059592
1998-02-28,0.152858216325,6.890000000000001,14.538333333333334,2.222303701671625,0.3225404501700471
1998-03-31,0.19766212998000002,6.795,14.6975,2.9051391553810504,0.42754071455203096
1998-04-30,0.205059390525,6.7,14.856666666666667,3.04649901189975,0.45470134505966414
1998-05-31,0.21442268415,6.605,15.015833333333333,3.219735288082375,0.4874693850238266
1998-06-30,0.20861735044000002,6.51,15.175,3.1657682929270003,0.48629313255407075
1998-07-31,0.258899115025,6.415,15.334166666666667,3.9700021796458542,0.6188623818621752
1998-08-31,0.28361870646,6.32,15.493333333333332,4.394199158753599,0.6952846770179745
1998-09-30,0.277509003875,6.2250000000000005,15.6525,4.343709683153437,0.6977846880567771
1998-10-31,0.270486220725,6.130000000000001,15.811666666666666,4.276837960030125,0.6976897161549959
1998-11-30,0.26498530804000003,6.035,15.970833333333333,4.2320361904888335,0.7012487473883734
1998-12-31,0.279264375575,5.94,16.13,4.50453437802475,0.7583391208795874
1999-01-31,0.311334535475,5.9558333333333335,16.214166666666667,5.048030047280896,0.8475774530204387
1999-02-28,0.27341254800000003,5.971666666666667,16.298333333333332,4.4561688448200005,0.7462186176087079
1999-03-31,0.2534682989,5.987500000000001,16.3825,4.15244440672925,0.6935188988274321
1999-04-30,0.29471407085,6.003333333333334,16.466666666666665,4.852958366663333,0.8083772959461408
1999-05-31,0.33914372922,6.019166666666667,16.550833333333333,5.61311133836535,0.9325396104165056
1999-06-30,0.340946204975,6.035,16.634999999999998,5.671640119759124,0.9397912377397057
1999-07-31,0.40766068545,6.050833333333333,16.719166666666666,6.815746943486125,1.1264145892002961
1999-08-31,0.46686108111999997,6.066666666666666,16.803333333333335,7.844822366419733,1.2931025878713847
1999-09-30,0.5262836516,6.0825,16.8875,8.887615166395,1.4611779969412249
1999-10-31,0.550921373075,6.098333333333334,16.971666666666668,9.350053903371208,1.5332146329660357
1999-11-30,0.7212657690200001,6.114166666666667,17.055833333333332,12.301788745443616,2.012013969542366
1999-12-31,0.7665147185250001,6.13,17.14,13.138062275518502,2.1432401754516315
2000-01-31,0.78034921886,6.284166666666667,17.230833333333333,13.446067331973516,2.1396738891882006
2000-02-29,0.8583933264,6.4383333333333335,17.321666666666665,14.868803068792,2.3094180277699197
2000-03-31,0.9836290777000001,6.5925,17.4125,17.127441315451254,2.598019160478006
2000-04-30,0.911179646875,6.746666666666667,17.503333333333334,15.948681085802082,2.3639349435477395
2000-05-31,0.7396182298799999,6.900833333333333,17.594166666666666,13.012966406213698,1.8857094176375364
2000-06-30,0.7398288101,7.055,17.685000000000002,13.083872506618501,1.8545531547297665
2000-07-31,0.78315794466,7.2091666666666665,17.775833333333335,13.921285097952051,1.9310533022243048
2000-08-31,0.816258072825,7.363333333333333,17.866666666666667,14.58381090114,1.9805990359176098
2000-09-30,0.719287619,7.5175,17.9575,12.9166074181925,1.7182051770126372
2000-10-31,0.31330040098,7.671666666666667,18.048333333333332,5.654550070354033,0.7370693117993525
2000-11-30,0.276923783125,7.825833333333334,18.139166666666668,5.02316665606823,0.6418698740583405
2000-12-31,0.220977079125,7.98,18.23,4.02841215244875,0.5048135529384398
2001-01-31,0.27940508426,7.761666666666667,18.302500000000002,5.113811554668651,0.658854827743438
2001-02-28,0.285351038,7.543333333333334,18.375,5.24332532325,0.6950939447525408
2001-03-31,0.318150721475,7.325,18.4475,5.869085434410064,0.8012403323426708
2001-04-30,0.35955606102000004,7.106666666666667,18.52,6.6589782500904,0.9370044441965854
2001-05-31,0.337196514,6.888333333333334,18.5925,6.269326186545,0.9101368768272441
2001-06-30,0.3268590048,6.67,18.665,6.1008233245920005,0.9146661656059971
2001-07-31,0.31557033658,6.451666666666667,18.7375,5.91299918166775,0.9165072355982046
2001-08-31,0.2779444456,6.233333333333333,18.810000000000002,5.2281350217360005,0.8387382387811766
2001-09-30,0.24678275735,6.015000000000001,18.8825,4.659875415661375,0.7747091297857647
2001-10-31,0.26873818934,5.796666666666667,18.955000000000002,5.093932378939701,0.8787692430603279
